Title,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),URL
Toyota Aqua S Grade 2014 Car (Used),"Rs. 7,275,000",,,,,,,,https://riyasewana.com/buy/toyota-aqua-s-sale-panadura-11240612
Toyota Corolla 121 2003 Car (Used),Negotiable,Toyota,Corolla 121,2003,174000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-121-sale-kaduwela-11246721
Bajaj Discover 100 2010 Motorbike (Used),"Rs. 210,000",Bajaj,Discover 100,2010,50000,,,100,https://riyasewana.com/buy/bajaj-discover-100-sale-pannipitiya-11246719
Nissan N16 2001 Car (Used),"Rs. 4,350,000",,,,,,,,https://riyasewana.com/buy/nissan-n16-sale-kandy-11240597
Toyota Prius 2013 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-prius-sale-gampaha-11240603
Mitsubishi Minicar 2003 Car (Used),"Rs. 3,400,000",,,,,,,,https://riyasewana.com/buy/mitsubishi-minicar-sale-matugama-11240599
Suzuki SPACIA 2018 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-spacia-sale-polonnaruwa-11240609
Perodua Viva Elite 2013 Car (Used),"Rs. 4,300,000",Perodua,Viva Elite,2013,119000,Automatic,Petrol,1000,https://riyasewana.com/buy/perodua-viva-elite-sale-kandy-11246718
Honda Plaser 2015 Motorbike (Used),Negotiable,Honda,Plaser,2015,-,,,,https://riyasewana.com/buy/honda-plaser-sale-colombo-11246717
Honda Twister 2017 Motorbike (Used),"Rs. 338,000",Honda,Twister,2017,39788,,,110,https://riyasewana.com/buy/honda-twister-sale-ja-ela-11246714
Toyota Carina 1996 Car (Used),"Rs. 2,800,000",Toyota,Carina,1996,-,Automatic,Diesel,1970,https://riyasewana.com/buy/toyota-carina-sale-gampaha-11246713
Honda FD3 MXST 2008 Car (Used),"Rs. 6,500,000",,,,,,,,https://riyasewana.com/buy/honda-fd3-mxst-sale-negombo-11240595
Tata Nano 2011 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/tata-nano-sale-gampaha-11240583
Toyota Vitz 2007 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-vitz-sale-kuliyapitiya-11240575
Nissan March 2003 Car (Used),"Rs. 3,590,000",,,,,,,,https://riyasewana.com/buy/nissan-march-sale-nattandiya-11240576
Honda Insight Ze2 2009 Car (Used),"Rs. 6,650,000",,,,,,,,https://riyasewana.com/buy/honda-insight-ze2-sale-galle-11240581
Suzuki Maruti 2006 Car (Used),"Rs. 2,175,000",,,,,,,,https://riyasewana.com/buy/suzuki-maruti-sale-nittambuwa-11240572
Daihatsu Mira LS 3 Safety 2024 Car (Used),"Rs. 6,480,000",,,,,,,,https://riyasewana.com/buy/daihatsu-mira-ls-sale-nawalapitiya-11240571
Toyota Corolla 121 2003 Car (Used),"Rs. 4,850,000",,,,,,,,https://riyasewana.com/buy/toyota-corolla-121-sale-mirigama-11240567
Honda Civic ES8 2004 Car (Used),"Rs. 5,550,000",,,,,,,,https://riyasewana.com/buy/honda-civic-es8-sale-moratuwa-11240555
Nissan SB14 1997 Car (Used),"Rs. 2,680,000",,,,,,,,https://riyasewana.com/buy/nissan-sb14-sale-kaduwela-11240570
Ford Laser 1989 Car (Used),"Rs. 990,000",,,,,,,,https://riyasewana.com/buy/ford-laser-sale-kegalle-11240553
Toyota Corona Premio 1997 Car (Used),"Rs. 3,350,000",,,,,,,,https://riyasewana.com/buy/toyota-corona-premio-sale-kandy-11240551
Suzuki Wagon R FX 2017 Car (Used),"Rs. 5,750,000",,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-nittambuwa-11240544
Toyota Axio 2015 Car (Used),"Rs. 8,950,000",,,,,,,,https://riyasewana.com/buy/toyota-axio-sale-kurunegala-11240536
Suzuki Wagon R Custom Z 2025 Car Brand New,Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-galle-11240539
Mitsubishi LANCER CS1 2007 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/mitsubishi-lancer-cs1-sale-colombo-11240538
Suzuki Alto Japan 2003 Car (Used),"Rs. 3,475,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-japan-sale-bandaragama-11240535
Toyota Corona Premio 210 1999 Car (Used),"Rs. 4,900,000",,,,,,,,https://riyasewana.com/buy/toyota-corona-premio-sale-veyangoda-11240533
Toyota Carina AT150 1988 Car (Used),"Rs. 1,100,000",,,,,,,,https://riyasewana.com/buy/toyota-carina-at150-sale-homagama-11240525
Toyota Starlet EP91 1997 Car (Used),"Rs. 3,700,000",,,,,,,,https://riyasewana.com/buy/toyota-starlet-ep91-sale-kurunegala-11240526
Toyota Aqua Safety 2016 Car (Used),"Rs. 8,100,000",,,,,,,,https://riyasewana.com/buy/toyota-aqua-safety-sale-pannipitiya-11240527
Toyota Corolla AE100 1991 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-corolla-ae100-sale-pannipitiya-11240524
Nissan Sunny FB13 1993 Car (Used),"Rs. 2,000,000",,,,,,,,https://riyasewana.com/buy/nissan-sunny-fb13-sale-bandaragama-11240511
Honda Civic FD3 2010 Car (Used),"Rs. 6,590,000",Honda,Civic FD3,2010,187000,Automatic,Hybrid,1390,https://riyasewana.com/buy/honda-civic-fd3-sale-piliyandala-11231792
